month,year,component,question number,topic,text
s,2020,42,5,5 Electricity and chemistry,"Electrolysis of concentrated aqueous sodium chloride using inert electrodes forms chlorine, hydrogen and sodium hydroxide. (a) What is meant by the term electrolysis? .................................................................................................................................................... .................................................................................................................................................... .............................................................................................................................................. [2] (b) Name a substance that can be used as the inert electrodes. .............................................................................................................................................. [1] (c) Write an ionic half-equation for the formation of hydrogen during this electrolysis. .............................................................................................................................................. [1] (d) Give the formulae of the four ions present in concentrated aqueous sodium chloride. .............................................................................................................................................. [2] (e) Explain how sodium hydroxide is formed during this electrolysis. .................................................................................................................................................... .................................................................................................................................................... .............................................................................................................................................. [2] [Total: 8]  "
s,2020,42,6,14 Organic chemistry,") Propane reacts with chlorine in a photochemical reaction as shown. C3H8 + Cl 2 → C3H7Cl + HCl (i) What type of reaction is this? ....................................................................................................................................... [1] (ii) What condition is needed for this photochemical reaction to occur? ....................................................................................................................................... [1] (iii) Draw two structural isomers of compounds with the formula C3H7Cl. Show all of the atoms and all of the bonds. [2] (b) Propene reacts with chlorine in an addition reaction as shown. C3H6 + Cl 2 → C3H6Cl 2 (i) State why this is an addition reaction. .......................................................................................................................  The structures of the reactants and products of this reaction are shown.
H C
H
H
C H
H
C Cl Cl
H
+ → H H C
H
H Cl Cl
C
H. ) There are three functional groups in compound A.
C
COOH
H
C
compound A
CH2OH
H
(i) Name the homologous series of compounds that contains the following structures.
C=C ....................................................................................................................................
–OH ....................................................................................................................................
–COOH ...............................................................................................................................
[3]
(ii) What would you observe when compound A is added to:
aqueous bromine ................................................................................................................
aqueous sodium carbonate? ..............................................................................................
[2]
(d) Compound A can be used as a single monomer to produce two different polymers.
(i) Draw one repeat unit of the addition polymer formed from compound A.
[2]
(ii) What type of condensation polymer is formed from compound A?
....................................................................................................................................... [1]
[Total: 16]
C
H
Some bond energies are shown in the table.
bond bond energy
in kJ /mol
C–C 347
C=C 612
C–H 413
C–Cl 339
Cl–Cl 242
Calculate the energy change for the reaction between propene and chlorine using the
following steps.
● Calculate the energy needed to break the bonds.
.............................. kJ
● Calculate the energy released when bonds are formed.
.............................. kJ
● Calculate the energy change for the reaction between propene and chlorine.
.............................. kJ /mol
[3] ) There are three functional groups in compound A.
C
COOH
H
C
compound A
CH2OH
H
(i) Name the homologous series of compounds that contains the following structures.
C=C ....................................................................................................................................
–OH ....................................................................................................................................
–COOH ...............................................................................................................................
[3]
(ii) What would you observe when compound A is added to:
aqueous bromine ................................................................................................................
aqueous sodium carbonate? ..............................................................................................
[2]
(d) Compound A can be used as a single monomer to produce two different polymers.
(i) Draw one repeat unit of the addition polymer formed from compound A.
[2]
(ii) What type of condensation polymer is formed from compound A?
....................................................................................................................................... [1]
[Total: 16] "
s,2020,43,1,14 Organic chemistry,"(a) The structures of five organic compounds, A, B, C, D and E, are shown.
Answer the questions that follow.
Each letter may be used once, more than once or not at all.
H C
H
H
C
A
H
H
C C
O
O
H
H
C
C C
C
H
H
H
H
H
H
H C
H
H
C
B
H
H
C H
H
H H
H C
H
H
C C
O
O
H
H
H C
H
H
C
D E
H
H
C O
H
H
H
H
(i) Give the letter of the compound that is propan-1-ol.
....................................................................................................................................... [1]
(ii) Give the letter of the compound that has the empirical formula CH2.
....................................................................................................................................... [1]
(iii) Give the letter of one compound that reacts with bromine in an addition reaction.
....................................................................................................................................... [1]
(iv) Give the letter of one compound that reacts with chlorine to form the compound shown.
H C
H
H
C
Cl
H
C H
H
H
....................................................................................................................................... [1]
(v) Give the letters of two compounds that can react with each other to form an ester.
............................................................... and [1]
(vi) Give the letter of the compound that is in the same homologous series as hex‑1‑ene.
....................................................................................................................................... [1]
(vii) Give the letter of one compound that is an acid.
....................................................................................................................................... [1]  Draw a structural isomer of compound D.
Show all of the atoms and all of the bonds.
[1]
(b) Some acids are described as weak acids.
State the meaning of the term weak acid.
         weak ..........................................................................................................................................
         acid ............................................................................................................................................
[2]
[Total: 10] "
s,2020,43,2,11 Air and water,"Ammonia is manufactured by the Haber process.
(a) The equation for the reaction is shown.
N2(g) + 3H2(g) 2NH3(g)
(i) State what is meant by the symbol .
....................................................................................................................................... [1]
(ii) State one source of hydrogen used in the manufacture of ammonia.
....................................................................................................................................... [1]
(b) The table shows some data for the production of ammonia.
pressure
/atm
temperature
/ °C
percentage yield
of ammonia
250 350 58
100 450 28
400 450 42
250 550 20
Deduce the effect on the percentage yield of ammonia of:
● increasing the pressure of the reaction
....................................................................................................................................................
● increasing the temperature of the reaction.
....................................................................................................................................................
[2]
(c) Explain, in terms of particles, what happens to the rate of this reaction when the temperature
is increased.
....................................................................................................................................................
....................................................................................................................................................
....................................................................................................................................................
....................................................................................................................................................
....................................................................................................................................................
.............................................................................................................................................. [3]
Give a reason for your answer.
substance oxidised .............................................................................................................
reason .................................................................................................................................
.............................................................................................................................................
[2]
(ii) In this reaction the predicted yield of NO is 512g. The actual yield is 384g.
Calculate the percentage yield of NO in this reaction.
percentage yield of NO = .............................. [1]
(iii) The equation for the reaction in stage 2 is shown.
2NO + O2 → 2NO2
Which major environmental problem does NO2 cause if it is released into the atmosphere?
.............................................................................................................................................
....................................................................................................................................... [1]  The equation for the reaction in stage 3 is shown.
4NO2 + 2H2O + O2 → 4HNO3
Calculate the volume of O2 gas, at room temperature and pressure (r.t.p.), needed to
produce 1260g of HNO3.
Use the following steps.
● Calculate the number of moles of HNO3.
moles of HNO3 = ..............................
● Deduce the number of moles of O2 that reacted.
moles of O2 = ..............................
● Calculate the volume of O2 gas that reacts at room temperature and pressure (r.t.p.).
volume of O2 gas = .............................. dm3
[4]
(e) The reaction in stage 3 is exothermic.
4NO2 + 2H2O + O2 → 4HNO3
Complete the energy level diagram for this reaction. Include an arrow that clearly shows the
energy change during the reaction.
energy
progress of reaction
4NO2 + 2H2O + O2 "
s,2020,43,3,9 The Periodic Table,"Chlorine is in Group VII of the Periodic Table. (a) Two isotopes of chlorine are chlorine‑35 and chlorine‑37. (i) State why these two isotopes of chlorine have the same chemical properties. ............................................................................................................................................. ............................................................................................................................................. ....................................................................................................................................... [2] (ii) Complete the table to show the number of electrons, neutrons and protons in each atom and ion. number of electrons number of neutrons number of protons 35Cl 17 37Cl – 17 [3] (b) (i) Chlorine reacts with aqueous sodium bromide. The equation for the reaction is shown. Cl 2 + 2NaBr → 2NaCl + Br2 State the type of reaction shown. ....................................................................................................................................... [1] (ii) Why is there no reaction between iodine and aqueous sodium bromide? ....................................................................................................................................... [1] (c) Magnesium reacts with chlorine to form magnesium chloride. Complete the dot-and-cross diagram to show the electron arrangement of the ions in magnesium chloride. Give the charges on the ions. The inner shells have been completed. Cl ......... ......... Mg [3].  Hydrogen and chlorine react to form hydrogen chloride gas, as shown in the equation.
         H2         +         Cl 2 →         2HCl
This equation can be represented as shown.
H–H + Cl–Cl → 2H–Cl
Some bond energies are shown in the table.
bond bond energy
in kJ/mol
H–H 436
Cl–Cl 243
H–Cl 432
Calculate the energy change for the reaction between hydrogen and chlorine, using the
following steps.
● Calculate the energy needed to break the bonds.
.............................. kJ
● Calculate the energy released when bonds are formed.
.............................. kJ
● Calculate the energy change for the reaction.
.............................. kJ/mol
[3]
[Total: 13] "
s,2020,43,4,11 Air and water,"a) Filtration and chlorination are two stages in water treatment.
State the purpose of each stage.
         filtration ......................................................................................................................................
....................................................................................................................................................
         chlorination ................................................................................................................................
....................................................................................................................................................
[2]
(b) A student uses anhydrous copper(II) sulfate to test for the presence of water.
(i) What colour change is seen if water is present?
from ............................................................ to [2]
(ii) The purity of a sample of water can be assessed by measuring its boiling point.
How is the boiling point of water affected by impurities?
....................................................................................................................................... [1]
(c)         Chromatography can be used to test the purity of substances.
The diagram shows the chromatogram of a coloured substance.
X
solvent front
start line
(i) How does this chromatogram show that this substance is not pure?
....................................................................................................................................... [1]
(ii) Draw a circle round the correct Rf value for the spot labelled X.
0.2 0.4 0.8 1.2 [1]
(iii) State how a colourless substance can be made visible on a chromatogram.
....................................................................................................................................... [1]
[Total: 8] "
s,2020,43,5,1 The particulate nature of matter,"(a) Complete the table about solids, liquids and gases.
particle
separation
particle
arrangement
type of
motion
solid regular vibrate only
liquid touching random
gas apart random
[3]
(b) The graph shows the change in temperature as a sample of a gas is cooled.
temperature
time
A B
Name the change of state taking place between A and B.
.............................................................................................................................................. [1]
(c) A bottle of liquid perfume is left open at the front of a room.
After some time, the perfume is smelt at the back of the room.
Name the two physical processes taking place.
         1 .................................................................................................................................................
2 .................................................................................................................................................
[2]
[Total: 6] "
s,2020,43,6,7 Chemical reactions,(a) An endothermic reaction occurs when calcium nitrate is heated. (i) Balance the equation for this reaction. .....Ca(NO3)2 → .....CaO + .....NO2 + .....O2 [1] (ii) State the type of reaction shown by the equation. ....................................................................................................................................... [1] (b) Describe the test for a nitrate ion. test ............................................................................................................................................. .................................................................................................................................................... result .......................................................................................................................................... .................................................................................................................................................... [3] [Total: 5] 
s,2020,43,7,5 Electricity and chemistry,"Aluminium is extracted by electrolysis. Iron is extracted from its ore by reduction with carbon.
(a) What is meant by the term electrolysis?
....................................................................................................................................................
.............................................................................................................................................. [2]
(b) Name the main ore of aluminium.
.............................................................................................................................................. [1]
(c) (i) Explain why aluminium cannot be extracted by reduction with carbon.
....................................................................................................................................... [1]
(ii) Describe the role of cryolite in the extraction of aluminium by electrolysis.
....................................................................................................................................... [1]
(iii) Name the product formed at the positive electrode.
....................................................................................................................................... [1]
(iv) Write the ionic half-equation for the reaction at the negative electrode.
....................................................................................................................................... [2]
(d) Aluminium is used in overhead electricity cables.
Give two properties of aluminium that make it suitable for use in overhead electricity cables.
         1 .................................................................................................................................................
2 .................................................................................................................................................
[2] ) Iron is a transition element.
(i) Iron forms hydrated iron(III) oxide when it rusts.
Write a word equation to represent the formation of rust.
....................................................................................................................................... [2]
(ii) Give two ways in which the properties of transition elements differ from the properties of
Group I metals.
1 ..........................................................................................................................................
2 ..........................................................................................................................................
[2]
[Total: 14] "
s,2020,43,8,14 Organic chemistry,"(a) Part of the synthetic polymer, nylon, is shown in the diagram. C O C O C C O O N H N H N H N H C O (i) Circle one amide linkage on the diagram. [1] (ii) Complete the structures of the two monomers that react to form nylon. [2] (iii) Name the other product formed when nylon is produced. ....................................................................................................................................... [1] (b) Items made from nylon are often disposed of by burying them in the ground. This is called landfill. Why is the disposal of nylon using landfill a problem? .................................................................................................................................................... .............................................................................................................................................. [1] (c) Give the name of a natural polymer. .............................................................................................................................................. [1] [Total: 6] "
w,2020,21,1,1 The particulate nature of matter, 
w,2020,21,2,2 Experimental techniques, 
w,2020,21,3,2 Experimental techniques, 
w,2020,21,4,2 Experimental techniques, 
w,2020,21,5,"3 Atoms, elements and compounds", 
w,2020,21,6,"3 Atoms, elements and compounds", 
w,2020,21,7,"3 Atoms, elements and compounds", 
w,2020,21,8,"3 Atoms, elements and compounds", 
w,2020,21,9,"3 Atoms, elements and compounds", 
w,2020,21,10,"3 Atoms, elements and compounds", 
w,2020,21,11,4 Stoichiometry, 
w,2020,21,12,4 Stoichiometry, 
w,2020,21,13,4 Stoichiometry, 
w,2020,21,14,5 Electricity and chemistry, 
w,2020,21,15,6 Chemical energetics, 
w,2020,21,17,6 Chemical energetics, 
w,2020,21,18,7 Chemical reactions, 
w,2020,21,19,7 Chemical reactions, 
w,2020,21,20,7 Chemical reactions, 
w,2020,21,21,7 Chemical reactions, 
w,2020,21,22,"8 Acids, bases and salts", 
w,2020,21,23,"8 Acids, bases and salts", 
w,2020,21,24,"8 Acids, bases and salts", 
w,2020,21,25,9 The Periodic Table, 
w,2020,21,26,9 The Periodic Table, 
w,2020,21,27,11 Air and water, 
w,2020,21,28,10 Metals, 
w,2020,21,29,10 Metals, 
w,2020,21,30,10 Metals, 
w,2020,21,31,10 Metals, 
w,2020,21,32,10 Metals, 
w,2020,21,33,12 Sulfur, 
w,2020,21,34,13 Carbonates, 
w,2020,21,35,14 Organic chemistry, 
w,2020,21,36,14 Organic chemistry, 
w,2020,21,37,14 Organic chemistry, 
w,2020,21,38,14 Organic chemistry, 
w,2020,21,39,14 Organic chemistry, 
w,2020,21,40,14 Organic chemistry, 
w,2020,22,1,1 The particulate nature of matter, 
w,2020,22,2,2 Experimental techniques, 
w,2020,22,3,2 Experimental techniques, 
w,2020,22,4,2 Experimental techniques, 
w,2020,22,5,"3 Atoms, elements and compounds", 
w,2020,22,6,"3 Atoms, elements and compounds", 
w,2020,22,7,"3 Atoms, elements and compounds", 
w,2020,22,8,"3 Atoms, elements and compounds", 
w,2020,22,9,"3 Atoms, elements and compounds", 
w,2020,22,10,"3 Atoms, elements and compounds", 
w,2020,22,11,4 Stoichiometry, 
w,2020,22,12,4 Stoichiometry, 
w,2020,22,13,4 Stoichiometry, 
w,2020,22,14,5 Electricity and chemistry, 
w,2020,22,15,6 Chemical energetics, 
w,2020,22,17,6 Chemical energetics, 
w,2020,22,18,7 Chemical reactions, 
w,2020,22,19,7 Chemical reactions, 
w,2020,22,20,7 Chemical reactions, 
w,2020,22,21,7 Chemical reactions, 
w,2020,22,22,"8 Acids, bases and salts", 
w,2020,22,23,"8 Acids, bases and salts", 
w,2020,22,24,"8 Acids, bases and salts", 
w,2020,22,25,9 The Periodic Table, 
w,2020,22,26,9 The Periodic Table, 
w,2020,22,27,11 Air and water, 
w,2020,22,28,10 Metals, 
w,2020,22,29,10 Metals, 
w,2020,22,30,10 Metals, 
w,2020,22,31,10 Metals, 
w,2020,22,32,10 Metals, 
w,2020,22,33,12 Sulfur, 
w,2020,22,34,13 Carbonates, 
w,2020,22,35,14 Organic chemistry, 
w,2020,22,36,14 Organic chemistry, 
w,2020,22,37,14 Organic chemistry, 
w,2020,22,38,14 Organic chemistry, 
w,2020,22,39,14 Organic chemistry, 
w,2020,22,40,14 Organic chemistry, 
w,2020,23,1,1 The particulate nature of matter, 
w,2020,23,2,2 Experimental techniques, 
w,2020,23,3,2 Experimental techniques, 
w,2020,23,4,2 Experimental techniques, 
w,2020,23,5,"3 Atoms, elements and compounds", 
w,2020,23,6,"3 Atoms, elements and compounds", 
w,2020,23,7,"3 Atoms, elements and compounds", 
w,2020,23,8,"3 Atoms, elements and compounds", 
w,2020,23,9,"3 Atoms, elements and compounds", 
w,2020,23,10,"3 Atoms, elements and compounds", 
w,2020,23,11,4 Stoichiometry, 
w,2020,23,12,4 Stoichiometry, 
w,2020,23,13,4 Stoichiometry, 
w,2020,23,14,5 Electricity and chemistry, 
w,2020,23,15,6 Chemical energetics, 
w,2020,23,17,6 Chemical energetics, 
w,2020,23,18,7 Chemical reactions, 
w,2020,23,19,7 Chemical reactions, 
w,2020,23,20,7 Chemical reactions, 
w,2020,23,21,7 Chemical reactions, 
w,2020,23,22,"8 Acids, bases and salts", 
w,2020,23,23,"8 Acids, bases and salts", 
w,2020,23,24,"8 Acids, bases and salts", 
w,2020,23,25,9 The Periodic Table, 
w,2020,23,26,9 The Periodic Table, 
w,2020,23,27,11 Air and water, 
w,2020,23,28,10 Metals, 
w,2020,23,29,10 Metals, 
w,2020,23,30,10 Metals, 
w,2020,23,31,10 Metals, 
w,2020,23,32,10 Metals, 
w,2020,23,33,12 Sulfur, 
w,2020,23,34,13 Carbonates, 
w,2020,23,35,14 Organic chemistry, 
w,2020,23,36,14 Organic chemistry, 
w,2020,23,37,14 Organic chemistry, 
w,2020,23,38,14 Organic chemistry, 
w,2020,23,39,14 Organic chemistry, 
w,2020,23,40,14 Organic chemistry, 
w,2020,41,1,7 Chemical reactions,"(a) This question is about elements. aluminium carbon iron hydrogen oxygen silicon sodium sulfur Answer the following questions about these elements. Each element may be used once, more than once or not at all. (i) Name the element that can be used as a fuel. ....................................................................................................................................... [1] (ii) Name the element that forms an oxide with a similar structure to diamond. ....................................................................................................................................... [1] (iii) Name the element that forms an amphoteric oxide. ....................................................................................................................................... [1] (iv) Name the element that has oxidation states of +2 and +3. ....................................................................................................................................... [1] (v) Name the element extracted from bauxite. ....................................................................................................................................... [1] (vi) Name the element that has atoms with the electronic structure 2,6. ....................................................................................................................................... [1] 3 © UCLES 2020 0620/41/O/N/20 [Turn over (b) Iron rusts when it is in contact with oxygen and water. (i) Explain how sacrificial protection prevents rusting. ............................................................................................................................................. ............................................................................................................................................. ............................................................................................................................................. ....................................................................................................................................... [2] (ii) State one other method of rust prevention. ....................................................................................................................................... [1] [Total: 9] "
w,2020,41,2,10 Metals,"Zinc is extracted from an ore containing zinc sulfide. (a) State the name of this zinc ore. .............................................................................................................................................. [1] (b) This ore is converted to zinc oxide, ZnO. Zinc oxide is then reacted with carbon. (i) Write a chemical equation for the reaction of zinc oxide with carbon. ....................................................................................................................................... [1] (ii) State what type of chemical change happens to the zinc in zinc oxide in this reaction. Explain your answer. chemical change ................................................................................................................. explanation ......................................................................................................................... ............................................................................................................................................. ............................................................................................................................................. [2] (iii) Explain why aluminium is not extracted from aluminium oxide by heating with carbon. ............................................................................................................................................. ....................................................................................................................................... [1] (iv) Suggest an alternative method for the extraction of zinc from zinc oxide. ....................................................................................................................................... [1] (c) Brass is an alloy of zinc. Explain, in terms of particles, why brass is harder than pure zinc. .................................................................................................................................................... .................................................................................................................................................... .................................................................................................................................................... .................................................................................................................................................... .............................................................................................................................................. [3] [Total: 9] "
w,2020,41,3,4 Stoichiometry,"(a) Aqueous ammonium sulfate, (NH4)2SO4, is warmed with aqueous sodium hydroxide. The pungent-smelling gas ammonia, NH3, is produced. Balance the equation for this reaction. (NH4)2SO4 + ......NaOH → ......NH3 + ......H2O + Na2SO4 [1] (b) A 2.8g sample of impure ammonium sulfate is found to contain 0.7g of impurities. Calculate the percentage of ammonium sulfate in this sample. percentage of ammonium sulfate = .............................. % [1] (c) Describe a test for ammonia gas. test ............................................................................................................................................. result .......................................................................................................................................... [2] (d) Ammonia gas is prepared at the front of a laboratory. The pungent smell of ammonia spreads throughout the laboratory slowly. (i) Name the process that occurs when ammonia gas spreads throughout the laboratory. ....................................................................................................................................... [1] (ii) Explain, using ideas about particles, why ammonia gas spreads throughout the laboratory. ............................................................................................................................................. ............................................................................................................................................. ............................................................................................................................................. ....................................................................................................................................... [2] (iii) Explain why carbon dioxide gas, CO2, will spread throughout the laboratory at a slower rate than ammonia gas, NH3. ............................................................................................................................................. ....................................................................................................................................... [1] 6 © UCLES 2020 0620/41/O/N/20 (e) Ammonia is produced in the Haber process. The equation for the reaction is shown. N2(g) + 3H2(g) → 2NH3(g) (i) In the Haber process, a temperature of 450°C and a pressure of 200 atmospheres are used in the presence of finely‑divided iron. A larger equilibrium yield of ammonia would be produced if a lower temperature and a higher pressure are used. Explain why a lower temperature and a higher pressure are not used. lower temperature ............................................................................................................... ............................................................................................................................................. higher pressure ................................................................................................................... ............................................................................................................................................. [2] (ii) State the role of iron in the Haber process. ....................................................................................................................................... [1] (f) Ammonia is a weak base. (i) Explain the meaning of the term base. ............................................................................................................................................. ....................................................................................................................................... [1] (ii) Suggest the pH of aqueous ammonia. ....................................................................................................................................... [1] [Total: 13] "
w,2020,41,4,11 Air and water,"Air is a mixture of gases. (a) State the percentage of clean dry air which is oxygen. Give your answer to the nearest whole number. .............................. % [1] (b) Oxygen and nitrogen are useful gases that can be obtained from air. (i) Name the process used to separate oxygen and nitrogen from liquid air. ....................................................................................................................................... [2] (ii) State the property of oxygen and nitrogen that allows these gases to be separated using this process. ....................................................................................................................................... [1] (c) Carbon dioxide, CO2, is a covalent molecule. Complete the diagram to show the electron arrangement in one molecule of CO2. Show only the outer electrons. O C O [2] 8 © UCLES 2020 0620/41/O/N/20 (d) The graph shows the concentration of carbon dioxide in the atmosphere over a 60‑year period, measured in parts per million (ppm). 420 400 380 360 340 320 concentration of carbon dioxide /ppm year 1960 1970 1980 1990 2000 2010 2020 The data shown in the graph is of global concern. Explain why. .................................................................................................................................................... .................................................................................................................................................... .................................................................................................................................................... .................................................................................................................................................... .................................................................................................................................................... .............................................................................................................................................. [3] (e) Name the process in the carbon cycle by which plants remove carbon dioxide from the atmosphere. .............................................................................................................................................. [1] [Total: 10] "
w,2020,41,5,12 Sulfur,"(a) Dilute sulfuric acid is electrolysed using the apparatus shown in the diagram. power supply inert electrodes dilute sulfuric acid + – (i) State what is meant by the term electrolysis. ............................................................................................................................................. ............................................................................................................................................. ....................................................................................................................................... [2] (ii) Explain why inert electrodes are used. ............................................................................................................................................. ....................................................................................................................................... [1] (iii) Name the products formed at each electrode. negative electrode .............................................................................................................. positive electrode ................................................................................................................ [2] (iv) Write an ionic half‑equation for the reaction at the negative electrode. ....................................................................................................................................... [2] 10 © UCLES 2020 0620/41/O/N/20 (b) Sulfuric acid is manufactured using the Contact process. This manufacture involves four stages. (i) Stage 1 involves the combustion of sulfur to form sulfur dioxide. Write the chemical equation for stage 1. ....................................................................................................................................... [1] (ii) The equation for stage 2 is shown. 2SO2(g) + O2(g) 2SO3(g) The reaction can reach equilibrium. Explain what is meant by the term equilibrium. ............................................................................................................................................. ............................................................................................................................................. ............................................................................................................................................. ....................................................................................................................................... [2] (iii) The energy level diagram for the forward reaction in stage 2 is shown. energy progress of reaction 2SO2(g) + O2(g) 2SO3(g) Explain what the diagram shows about the energy changes in the forward reaction. ............................................................................................................................................. ............................................................................................................................................. ............................................................................................................................................. ....................................................................................................................................... [2] 11 © UCLES 2020 0620/41/O/N/20 [Turn over (c) In stage 3 sulfur trioxide, SO3, is converted to oleum, H2S2O7. In stage 4 oleum reacts to form sulfuric acid, H2SO4. State what oleum reacts with in stage 4. .............................................................................................................................................. [1] (d) A sample of sulfuric acid, H2SO4, has a concentration of 0.75mol/dm3 . Calculate the concentration of sulfuric acid in g/dm3 . .............................. g/dm3 [2] [Total: 15] "
w,2020,41,6,14 Organic chemistry,"(a) Ethane, propane and butane are members of the same homologous series. (i) Name this homologous series. ....................................................................................................................................... [1] (ii) State two ways members of the same homologous series are similar. 1 .......................................................................................................................................... 2 .......................................................................................................................................... [2] (b) One mole of ethane, C2H6, contains 6.02 × 1023 molecules. Calculate how many molecules are in 15g of ethane. number of ethane molecules = .............................. [1] (c) Propane reacts with chlorine. (i) Write the formula of the product which does not contain carbon. ....................................................................................................................................... [1] (ii) Draw the structure of an organic product formed. Show all of the atoms and all of the bonds. [1] (iii) State the name of this type of reaction. ....................................................................................................................................... [1] 13 © UCLES 2020 0620/41/O/N/20 [Turn over (d) (i) Aqueous bromine was added to a sample of ethene. Give the colour change seen. from ............................................................. to ............................................................ [2] (ii) Explain, in terms of bonding, why there is no colour change when aqueous bromine is added to ethane. ............................................................................................................................................. ....................................................................................................................................... [1] (e) There are two structural isomers with the formula C4H10. (i) Draw the structures of both of these isomers, showing all of the atoms and all of the bonds. [2] (ii) Butane is formed when longer chain hydrocarbons are cracked. Complete the chemical equation to show the other product when butane is formed by cracking. C6H14 → C4H10 + ................................ [1] 14 © UCLES 2020 0620/41/O/N/20 (f) A compound contains 85.7% carbon and 14.3% hydrogen by mass. (i) Calculate the empirical formula of this compound. Show your working. .............................. [2] (ii) The molecular mass of the compound is 112. Calculate the molecular formula of this compound. .............................. [1] [Total: 16] "
w,2020,41,7,14 Organic chemistry,"(a) Ethanol can be manufactured by two different methods. Method 1: fermentation of a sugar, C6H12O6 C6H12O6 → 2C2H5OH + 2CO2 Method 2: reaction of ethene with steam C2H4 + H2O → C2H5OH (i) Give one advantage of using fermentation compared with Method 2. ............................................................................................................................................. ....................................................................................................................................... [1] (ii) Give one disadvantage of using fermentation compared with Method 2. ............................................................................................................................................. ....................................................................................................................................... [1] (b) Ethanol reacts with acidified potassium manganate(VII) to form water and a product that turns litmus red. (i) State the name of the product that turns the litmus red. ....................................................................................................................................... [1] (ii) State the type of reaction that ethanol undergoes when it reacts with acidified potassium manganate(VII). ....................................................................................................................................... [1] (c) Ethanol reacts with methanoic acid to form an ester. (i) Name the ester formed in this reaction. ....................................................................................................................................... [1] (ii) Draw the structure of the ester formed. Show all of the atoms and all of the bonds. [1] 16 © UCLES 2020 0620/41/O/N/20 (d) The table shows the melting points of ethanol and sodium chloride. substance melting point/ °C ethanol –114 sodium chloride 801 The difference in melting points is due to differences in attractive forces between particles in these substances. Name the type of attractive force in each substance, which is responsible for the difference in melting points. ethanol ....................................................................................................................................... sodium chloride ......................................................................................................................... [2] [Total: 8] "
